timestamp,product_name,ocr_text,sugar_g,status,yolo_confidence,match_score,match_type,screenshot_path
2026-06-10T08:50:39,ULTRA MILK,TFA MILK,12.0,Batas Wajar,0.8104,0.7778,fuzzy:ULTRA MILK,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_085039_414858_ULTRA_MILK.jpg
2026-06-10T08:55:07,NU MILK TEA,NII MILK,15.0,Batas Wajar,0.7288,1.0,exact:NII MILK,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_085507_589693_NU_MILK_TEA.jpg
2026-06-10T08:55:20,NU MILK TEA,MILK TEA NII,15.0,Batas Wajar,0.7311,0.7368,fuzzy:NU MILK TEA,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_085520_070066_NU_MILK_TEA.jpg
2026-06-10T09:15:52,NUTRI BOOST,BOOSI SUSU,21.0,Tidak Disarankan,0.7828,1.0,exact:BOOSI SUSU,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_091552_224359_NUTRI_BOOST.jpg
2026-06-10T09:17:52,NU MILK TEA,NTI MILK TCA,15.0,Batas Wajar,0.8287,0.8333,fuzzy:NII MILK TEA,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_091752_583600_NU_MILK_TEA.jpg
2026-06-10T09:26:03,NU MILK TEA,NII MILK TEA,15.0,Batas Wajar,0.7184,1.0,exact:NII MILK TEA,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_092603_663533_NU_MILK_TEA.jpg
2026-06-10T09:29:34,NU MILK TEA,NII MILK TEA,15.0,Batas Wajar,0.6142,1.0,exact:NII MILK TEA,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_092934_274167_NU_MILK_TEA.jpg
2026-06-10T09:29:42,NU MILK TEA,NTI MILK TEA,15.0,Batas Wajar,0.6650,0.9167,fuzzy:NII MILK TEA,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_092942_958524_NU_MILK_TEA.jpg
2026-06-10T09:33:03,NU MILK TEA,AN NI MILK,15.0,Batas Wajar,0.8244,0.8,fuzzy:NII MILK,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_093303_239791_NU_MILK_TEA.jpg
2026-06-10T09:33:14,NU MILK TEA,NTI MILK,15.0,Batas Wajar,0.8442,0.875,fuzzy:NII MILK,D:\Yolo11-OCR_\Yolo11-OCR_\screenshot\20260610_093314_193382_NU_MILK_TEA.jpg
